date	title	trend
2017-11-05	bitcoin sector is angry at ei over funding stance;  fintech ; enterprise ireland criticised over its refusal to support bitcoin-style investment drives writes simon rowe	1
2017-12-23	bitcoin selloff picks up speed; prices slump 19%	1
2017-11-28	bitcoin sets new record as currency surges towards $10000 mark	1
2017-11-28	bitcoin sets record as currency surges towards the $10000 mark	1
2017-12-04	bitcoin skeptics wonder what will pop this bubble	1
2017-11-02	bitcoin skyrockets above $7000 for first time ever	1
2018-01-16	bitcoin slides 14% on crackdown fears	0
2017-09-14	bitcoin slips after jpmorgan ceo warns it 'is a fraud'	1
2017-09-05	bitcoin slumps as china clamps down on digital tokens	1
2017-12-07	bitcoin soars past us$13k as it moves nearer legitimacy	1
2017-05-03	bitcoin soars to all-time high above $1400	1
2017-11-28	bitcoin soars to new high another record in sight	1
2017-11-02	bitcoin spikes again: this time crypto passes by $6500 mark	1
2017-01-03	bitcoin starts year with a bang topping $1000	1
2016-12-22	bitcoin startup unocoin pairs up with bitwage to improve global wage distribution	1
2017-10-31	bitcoin stokes fear and greed - but it's just tip of a finance revolution;  often called a digital currency bitcoin is now behaving more as a 'store of value' with a surging price tag. its bubble could burst but the technology behind it promises to transform personal and business finance.	1
2016-12-28	bitcoin surges 17pc in a week;  currency	1
2017-12-06	bitcoin surges above $12000 to record high	1
2017-12-07	bitcoin surges above $15000 after climbing $2000 in 12 hours	1
2017-12-06	bitcoin surges above us$12000 to record high on relentless demand	1
2017-12-11	bitcoin surges in first day of futures trading	1
2017-12-23	bitcoin surges in popularity across globe;  financial analysts wonder what's next for digital currency.;  closer look	1
2016-12-28	bitcoin surges in value	1
2017-12-07	bitcoin surges over $15000 despite 'dante's inferno' warning - as it happened;  royal bank of scotland's chairman says central bankers should hang an 'abandon hope' warning over bitcoinsir howard davies: authorities should warn about bitcoin risksdavies: we need a dante's inferno warningus banks may not support bitcoin futures marketbitcoin has surged again... ...but $64m stolen in 'sophisticated' hack	1
2017-12-07	bitcoin surges past 16000 mark for first time ever - what you need to know;  despite its value climbing more than 1500% since the start of the year financial heavyweights are divided	1
2017-12-07	bitcoin surges past us$15 000 for first time	1
2017-06-13	bitcoin surges past us$3100 level;  mainland resumption of withdrawals triggers rally in digital currency	0
2017-10-13	bitcoin surges through $5000;  exchanges	1
2017-01-11	bitcoin takes â€¨a hammering from china	0
2017-07-16	bitcoin technology leaves regulators falling behind;  comment ; gregory glynn philip munnery	1
2017-05-17	bitcoin technology may be key to shielding our data from tech giants	1
2017-11-02	bitcoin throws down the gauntlet to wall street;  maley	1
2018-03-03	bitcoin to be sold at 1200 newsagents;  cryptocurrencies	1
2017-12-07	bitcoin tops $15000; hack raises concerns ahead of us trade	1
2017-02-16	bitcoin trade plunges in china after tighter regulation	1
2017-12-22	bitcoin trading in india? why it's still a big no-no	0
2017-09-14	bitcoin tumbles after 'fraud' remark; cryptocurrency	1
2017-09-14	bitcoin tumbles after 'fraud'remark; cryptocurrency	1
2017-09-05	bitcoin tumbles as pboc declares initial coin offerings illegal	1
2017-12-23	bitcoin tumbles nearly 30 per cent friday	1
2017-12-23	bitcoin tumbles nearly 30 per cent friday;  coinbase temporarily halts trading after cryptocurrency falls nearly $4000; far below all-time high	1
2017-12-22	bitcoin tumbles nearly 30 per cent in volatile trading	0
2017-12-23	bitcoin tumbles nearly 30% in volatile trading	1
2017-05-23	bitcoin turns $1 into $35k	1
2017-12-19	bitcoin unlikely to replace gold as a safe haven says uk analyst	0
2018-02-05	bitcoin use must be reported to cra	0
2018-03-06	bitcoin value could fall to $100 in a decade warns harvard university professor	0
2017-12-22	bitcoin value tumbles by 30 per cent as investors face 'reality check'	0
2017-11-28	bitcoin valued at $10000 for the first time;  it has raised concerns that investors are over-estimating bitcoin's value	1
2017-05-23	bitcoin values surge on mainland despite restrictions;  investors' search for alternate investment options propels huge demand for cryptocurrency	1
2017-01-04	bitcoin was the best-performing currency in 2016	1
2017-09-14	bitcoin will 'blow up' warns jp morgan chief jamie dimon	1
2017-12-06	bitcoin worth raises questions	1
2017-09-19	bitcoin – the way to the future or the path to financial ruin?	0
2017-08-17	bitcoin's 'better than gold' claims untested	0
2018-02-01	bitcoin's january fall wipes off $44bn in value;  us investigation into boom stokes fears of impending bust as cryptocurrency records steepest monthly slide in its history	0
2017-01-04	bitcoin's price has spiked but mining it with genesis hasn't	1
2018-02-15	bitcoin's return to $9000 halted; few americans reporting cryptocurrencies on tax forms	1
2018-02-09	bitcoin's blight spreads to initial coin offerings amid broader stockmarket turmoil	1
2018-01-05	bitcoin's environmental impact subject of debate	1
2018-01-22	bitcoin's fall no surprise	0
2017-12-07	bitcoin's journey from $1000 to $14000: how many days it took for each $1000 rise;  the prices of bitcoin have taken lesser and lesser number of days to achieve each successive milestone even as the prices have recorded an exponential increase since january. the post bitcoin's journey from $1000 to $14000: how many days it took for e...	1
2018-01-02	bitcoin's meteoric rise luring investors hoping to cash in	1
2018-01-08	bitcoin's murky future	0
2017-05-30	bitcoin's rapid surge raises reasons to question frenzy	1
2017-09-14	bitcoin's rise has banks taking notice;  digital currency has seen 300-per-cent surge this year but anonymity is an obstacle	1
2017-06-16	bitcoin's rollercoaster ride drags on as its price drops to below $2200	1
2017-12-23	bitcoin's rollercoaster week climaxes with 30pc collapse in price	1
2018-02-04	bitcoin's undercurrent	0
2017-12-23	bitcoin's wild ride might get wilder; currency loses 9.5 per cent of its value after free fall in asia; experts see bubble	1
2018-02-18	bitcoin 'dark web' help illicit goods trade online	0
2017-06-26	bitcoin ether lead slide as digital currencies drop from highs	1
2017-11-28	bitcoin stocks rally to new high; cisco top dow names in reach	1
2018-03-08	bitcoin ethereum and litecoin to be added to index fund	0
2018-02-12	bitcoin-bubble burst raises concern;  senate panel questions sec on cryptocurrency's staggering rise and fall	1
2018-02-12	bitcoin-mining boom gobbles iceland's energy production;  abundant power supply and cold climate drew cryptocurrency industry but at what real cost?	1
2017-09-17	bitcoin-rupee swap dives but investors unfazed	1
2017-12-20	bitcoin.com co-founder offloads his collection	0
2017-12-20	bitcoin.com co-founder offloads his collection;  cryptocurrency | 'the riskiest investment you can make'	0
2017-12-01	bitcoin: a speculative asset where 'patience is the name of the game'	1
2017-12-01	bitcoin: a speculative asset where patience is the name of the game	1
2017-12-31	bitcoin: income tax department in tough spot as investors go all tech	1
2017-12-20	bitcoin: is it an investment worth making?	0
2018-01-20	bitcoin: what exactly is it?	1
2018-03-06	bitcoin: protection levels must be ensured	0
2017-12-16	bitcoin: the currency revolution in the making;  millennial money you've heard the hype now find out what this payment system means for your generation. annabelle williams reports	1
2017-12-16	bitcoin: will it be a digital asset or just fool's gold?	1
2018-01-11	bitcoin? not here	0
2017-05-03	bitcoingrowthfund to raise $32 m through initial coin offer	1
2018-02-27	bitcoins add an element of uncertainty in divorces	1
2018-02-19	bitcoins and blockchain	1
2018-01-05	bitcoins and the process of their mining	1
2017-10-08	bitcoins are neither legal nor illegal in india: s p sharma phd chamber of commerce and industry	1
2017-09-13	bitcoins come under rbi lens	0
2017-05-22	bitcoins gain currency used for trading by over 200 city investors	1
2017-01-06	bitcoins hit a 3-year-high more indian users take to cryptocurrency	0
2017-01-06	bitcoins hit a 3-yr-high more indians take to cryptocurrency	0
2017-09-13	bitcoins make landfall even in lebanon	0
2018-02-14	bitcoins value is driven by human emotion not code	1
2018-03-08	bitcoins worth rs 12 lakh stolen plaint filed	0
2017-12-07	bitcoins blockchains and bubbles;  there's a lot to learn from previous examples of irrational exuberance from tulips to dot-coms	1
2018-01-11	bitcoins: from warren buffet to shilpa shetty what famous people have said about the cryptocurrency	0
2017-03-02	bitcoins: virtual currencies pose financial risk says rbi deputy governor	1
2017-12-07	bitcoin’s price has soared. what comes next?	1
2017-12-07	bitcoin… big con?;  all you need to know about virtual currency…	1
2017-11-13	bithumb server crashes as bitcoin rides roller-coaster	1
2017-03-19	bitten by the bitcoin bug	1
2018-02-17	bitter end to bitcoin craziness	1
2018-02-14	bizman kidnapped to extort ransom in bitcoins	1
2017-05-07	block by block	1
2018-02-14	blockchain bitcoin conference thailand: 15 speakers exhibition and panel discussion about the future of ico in thailand	1
2018-02-22	blockchain could improve gun control-but lawmakers hate the idea	0
2018-02-27	blockchain expands beyond bitcoin to amazon nvidia alibaba	1
2017-01-03	blockchain promises cost cuts but what about revenue?	1
2017-03-17	blockchain vc to raise fund through digital token offering	0
2018-02-14	blockchain bubble may pop too	1
2017-06-16	blockchain needs scale to become truly disruptive	1
2017-09-07	blockchain security not all that watertight	0
2018-03-06	blockchain technology is not worth the hype	0
2017-10-23	blockchain technology may be used as database in azerbaijan	0
2016-12-22	blockchain: the next internet wave?	1
2017-12-01	boc weighs creating new digital currency; report urges caution due to uncertainty	1
2018-03-03	boe 'has no use' for cryptocurrencies	1
2017-07-20	bodega bitcoin bots befit brow-furrowing	0
2017-01-17	boise company uses blockchain technology to secure emails	1
2017-05-17	brewer schools didn't have to pay that 'ransom' after all	1
2017-11-02	bringing bitcoin into mainstream	1
2018-01-16	bringing home the bacon with bitcoin	0
2017-06-25	british coder revealed as brains behind bitcoin rival;  gavin wood 'wrote the code' for ether - whose value has soared 4400% this year	0
2018-02-22	broker sells condo for bitcoin;  toronto real estate agent says sale of unit is first such listing in province	0
2017-05-19	bruce schneier: the next ransomware attack will be worse than wannacry	1
2017-11-28	bubble concerns rage as bitcoin hits $10000	1
2018-02-06	budget hits 'biryani for bitcoin' biz	1
2018-01-11	buffett derides bitcoin;  he predicts a bad end for it	0
2017-11-06	bull market tests nerves on wall st.	0
2017-11-10	bulls shrug off bitcoin bubble	0
2017-08-11	buoyant bitcoin stirs crypto-bubble worries - bull run ahead say advocates	1
2017-08-31	burger king's new cryptocurrency is a whopper of a shenanigan	1
2017-09-26	bursting to defend bitcoin bubble	1
2018-01-11	bury dental company becomes world's first to accept bitcoin	0
2017-09-05	business - eye on it - are crypto-currencies finally coming into the mainstream?	1
2017-05-23	businessman's ransom hell	1
2017-11-28	buy bitcoin at your own risk gamblers: nigeria's insurance regulator	1
2018-01-11	buy it or not bitcoin may still change your life	0
2017-12-04	buy it with bitcoin in new york but it's not cheap	1
2017-12-28	buying bitcoin takes research but transaction is not complex;  currencies	0
2018-02-15	cba bans bitcoin buy-up on credit	1
2017-10-06	cbd;  at abc f is for friday flexibility	1
2016-12-20	cbn may legalise use of bitcoin for transactions - ndic	1
2017-12-04	cboe readies bitcoin futures launch	1
2018-02-15	cef monitors impact of cryptocurrencies in the market and analyzes its tax effects	1
2017-12-04	cfpb taps hensarling aide; cftc approves bitcoin futures	1
2017-06-06	china allows bitcoin withdrawals	0
2017-03-18	china to tighten oversight of bitcoin	0
2017-05-03	city moves who's switching jobs	1
2017-10-31	cme group to launch bitcoin futures	1
2017-11-08	cme grandee: bitcoin is a new asset class not a cryptocurrency	1
2018-02-12	critic's choice	1
2018-01-16	crypto crash bitcoin value plunges to lowest point level since early december as china and south korea escalate crackdown;  the much-hyped cryptocurrency has now lost 40 per cent of its value since its $20000 (£14950) high before christmas	0
2017-11-15	can iran use bitcoin?	1
2017-09-26	can crypto money survive scrutiny?	1
2017-12-04	can we bank on bitcoin?	1
2017-12-04	can we bank on bitcoin?	1
2017-07-02	can you buy anything real with bitcoin? on the streets of bristol it proves a hard sell;  the digital currency can now be bought at atms around the country	1
2017-10-25	can you legally protect a bitcoin transaction?	1
2017-07-27	canada revenue agency phone scam goes online: halton police	1
2018-01-30	canada looks into bitcoin's risk factor;  decades-old tax rules meant for traditional money being used for cryptocurrency	0
2017-12-19	canberra caterer will accept bitcoin payment for weddings	0
2018-02-12	capital perspectives: crypto mania part ii	1
2017-11-13	capital markets: investors must be cautious of bitcoin appeal	1
2017-06-11	capital: market movers: alibaba bitcoin at record highs; man wah hit by short-sellers; oil plunges usd down	0
2017-12-04	capital: market movers: dow hits new high edging towards 24000 barring 'black swan'	1
2018-03-03	carney slams bitcoin	1
2018-02-22	cat leads dow as apple pares gains; chance to buy buffett stocks	0
2017-12-06	cboe steals march on rival to launch bitcoin futures;  bourses keen to tap demand from institutional investors as prices for the digital currency soar	1
2017-01-13	central bank probes chinese bitcoin exchanges	1
2017-11-28	central banks wary of cryptocurrencies as bitcoin surges	1
2017-07-09	check in cash out	0
2017-12-11	chicago exchange offers bitcoin futures	1
2017-09-01	children as young as seven targeted by webcam criminals	0
2017-09-14	china bitcoin exchange to stop trading virtual currencies amid crackdown	1
2017-09-05	china rains on bitcoin parade	1
2017-09-17	china declares all-out war on bitcoin and digital currencies;  ban on initial coin offerings and the closure of exchanges is just the start of beijing's offensive	1
2017-09-05	china gets tough on bitcoin and others;  all initial coin offerings halted	1
2017-09-12	china losing its passion for bitcoin	0
2017-09-05	china rains on bitcoin parade	1
2017-09-05	china rains on bitcoin parade	1
2017-05-19	china should ban bitcoin trading to avoid risks	1
2017-09-19	china shuts down bitcoin industry	0
2018-02-19	china takes the lead in war against risky cryptocurrencies	1
2017-09-12	china to ban bitcoin trading on exchanges	0
2017-06-01	china's largest bitcoin exchanges to again allow withdrawals	1
2017-09-14	china's biggest bitcoin exchange to halt trading	1
2017-09-05	chinese ban on icos drags price of bitcoin down	1
2017-06-25	chinese buyers dominate	0
2017-10-11	chips rally but bitcoin drops; airlines lift stock play near buy	1
2017-06-30	choice of where you divorce can weigh on costs	0
2017-01-31	christopher langner	1
2018-02-14	citi bank bans credit debit card transactions for purchasing bitcoins other cryptocurrencies	1
2018-02-14	citi blocks use of cards for bitcoin buy	1
2018-02-14	citi blocks use of cards for bitcoin purchases	1
2018-02-14	citi blocks use of its cards for buying bitcoins	1
2018-02-14	citi blocks use of its debit or credit cards for buying bitcoins	1
2018-02-14	citi disallows use of cards for cryptocurrency purchase	1
2018-02-14	citibank bans use of cards to buy cryptocurrencies	1
2018-02-22	close of markets: oil fires and bitcoin returns below $ 10000	0
2017-12-19	co-founder of one of the largest bitcoin sites has sold all his bitcoins saying the currency is 'virtually unusable'	0
2017-12-20	coinbase probes possible insider trading after sharp rise in bitcoin cash	0
2018-03-08	coinbase a top cryptocurrency exchange is launching an index fund	0
2017-12-06	coinbase: the heart of the bitcoin frenzy	1
2017-12-07	coinbase: the heart of the bitcoin frenzy	1
2017-12-21	coining it in: estate agency celebrates uk's first cryptocurrency sale	0
2017-11-02	company news in brief	1
2018-02-22	company to invest $251 million in butte's nearby montana connections	0
2017-03-02	congress gets serious about blockchain	1
2017-09-24	conman from delhi nabbed by cyber cell	1
2018-02-12	consumer and wholesale inflation data key to market direction	1
2018-02-18	contextualising blockchain technology: how we got here and where we're going	0
2017-10-13	controlling bitcoin 'like catching water';  cryptocurrencies	1
2017-11-08	cooking the books podcast: why you should be keeping an eye on bitcoin	1
2018-02-27	cops bnm to tackle crypto scams	1
2017-05-22	corporate: dodging the wannacry bullet	1
2017-09-20	could chinese regulators put an end to blockchain assets?	0
2017-12-22	could bitcoin trigger the next recession?	0
2017-08-11	could cryptocurrency bubble be about to burst?	1
2017-11-28	could digital currency destroy pound and euro?	1
2017-08-23	cowboy bitcoin operators facing jail under new bill	1
2017-09-17	crackdown by china on bitcoin exchange trading puts brakes on cryptocurrency's soaring value;  currency	1
2017-09-19	crackdown signals end of illegal exchanges	0
2017-12-04	criminals using bitcoin atm cash machines to launder money say detectives;  criminals using cafes newsagents and corner shops to exchange their ill-gotten gains into virtual currency	1
2017-10-06	cryptic currency	1
2018-02-17	crypto 'gold rush' entices small-town canada; councils promote cheap power and cold climate in quest to woo digital currency miners	1
2018-02-17	crypto 'gold rush' entices small-town canada; councils promote cheap power and cold climate in quest to woo digital currency miners	1
2018-02-06	crypto buffs beware: bitcoin is in trouble	1
2018-02-11	crypto clues - the mysteries of bitcoin	0
2017-03-02	crypto exchange kraken acquires trading platform as bitcoin soars	1
2018-02-21	crypto exchanges welcome regulators as they woo institutional clients	0
2018-02-27	crypto legend is back at it	1
2018-02-22	crypto sink fails to drown coin offerings	0
2018-02-17	crypto-taxes	1
2017-05-30	crypto-hungry cowboys in 'next bitcoin' gold rush bid;  techknowledge	1
2018-02-17	crypto-miners flooding into small-town canada; jump in values brings new players eager to lock down cheap energy for their power-hungry computers	1
2018-02-17	crypto-miners flooding into small-town canada; jump in values brings new players eager to lock down cheap energy for their power-hungry computers	1
2018-02-09	cryptocurrencies are like ponzi schemes says world bank chief	1
2017-09-19	cryptocurrencies catch the fancy of bengaluru's tech-driven millennials	0
2017-09-05	cryptocurrencies dropped by average of 20% over the weekend	1
2017-12-06	cryptocurrencies getting too big for regulators to ignore	1
2017-11-28	cryptocurrencies just a bubble central bankers say but it has them worried	1
2018-03-06	cryptocurrencies knocking at the pillars of fiat currencies	0
2018-01-08	cryptocurrencies worth investor interest in 2018;  e-commerce	0
2017-11-02	cryptocurrencies' total value at record high as bitcoin hits eur 5590	1
2018-02-19	cryptocurrencies: the new frontier	1
2017-10-25	cryptocurrencies: more than a token effort	1
2017-07-16	cryptocurrency 101;  digital currencies like bitcoin have soared in value but they are subject to wild price swings so investors should prepare for a rocky ride	1
2018-02-12	cryptocurrency daily roundup - feb. 12	1
2017-12-07	cryptocurrency mining site hacked; bitcon hits $15000	1
2018-02-19	cryptocurrency boom: a fading fad or real innovation?	1
2017-07-16	cryptocurrency investing	1
2017-12-04	cryptocurrency is new gold rush in india	1
2018-02-14	cryptocurrency mining a big energy drain;  iceland facing an electricity shortage	1
2018-02-09	cryptocurrency: 18-year-old student earns $1 mn profit	1
2018-02-11	cryptocurrency: a look into the future	0
2017-12-01	cryptocurrency: the bits of bitcoin	1
2017-01-04	currency troubles lead to spike in price of bitcoin	1
2017-01-05	currency restrictions drive bitcoin to record high	0
2017-12-07	currency trader's offer to those champing at the bit	1
2017-12-11	current craze for bitcoin is draining more energy	1
2017-05-22	custody of bitcoin suspects extended by one more day	1
2017-05-26	cyber attacks and ransomware: who's next?	0
2017-05-17	cyber attack courtesy n. korea?	1
2017-03-18	cyber pirates tightening their web business warned	0
2017-06-30	cyberattack may have 'nefarious motive' disrupting ukraine may have been intention investigator says	0
2017-05-17	cyberattack: n. korea's new cash source?	1
2017-04-01	ddos attack may cost $7 an hour only-kaspersky	1
2018-02-17	dead cat bounce	1
2017-12-01	debate;  with bitcoin's recent rise and fall is it too volatile and risky to be considered a serious investment?	1
2017-11-28	digital currency climbs 1000pc in a year...	1
2018-02-21	dj among three arrested with banned party drugs	0
2017-09-19	doj probes equifax; china bitcoin ban broadens	0
2017-03-21	doj vs. cfpb; bitcoin vs. bitcoin	1
2017-12-04	drug dealers using bitcoin cashpoints to launder money	1
2018-02-11	dabba traders foray in bitcoins offer daily buying and selling bets in cash	0
2017-05-19	data loss will make you wanna cry	1
2017-07-24	dead 'darknet' owner loved thailand (updated)	0
2017-12-07	dealbook briefing: bitcoin surges past $16000	1
2017-06-26	death hoax involving ethereum creator sparks panic cryptocurrency sell-off	1
2018-02-12	derek handley: the power of blockchain goes far beyond currencies	1
2017-05-17	despite rbi caution 2500 indians investing in bitcoins daily	1
2018-03-03	detroit auto show may move dates	1
2018-02-22	devices that 'mine' for bitcoins get their start in shenzhen	0
2017-05-07	diana clement: i fancy a bit of bitcoin	1
2017-12-07	digging to the bottom of bitcoin mining q&a;  courtney goldsmith delves into the world of bitcoin mining so you don't have to	1
2017-06-04	digital coins are making bitcoin's rip-roaring rally appear tame	1
2018-02-14	digital assets hailed success	1
2017-06-05	digital coins are making bitcoin's huge rally appear tame	1
2017-11-08	digital currency	1
2016-12-20	digital currency in police's sights	1
2017-06-01	digital currency's price surges past $2784 in china only to slump 20% in following week	1
2017-11-13	digital dollars a toss of the coin	1
2017-09-14	dimon bops bitcoin again	1
2017-09-12	dimon slams bitcoin: ~it's a fraud'	0
2018-02-09	dining out on digital currencies as group holds its first public event	1
2017-12-04	disney banks rally but nvidia sinks; ready for bitcoin futures?	1
2017-07-14	dispute could mean financial panic in bitcoin	0
2017-12-20	distraught bitcoin investor forgets password... so he builds a supercomputer to access his fortune	0
2018-02-14	divorcing couples battle over bitcoin	1
2017-08-31	doctors 'under attack'by hackers; ransomware	1
2017-12-07	does bitcoin really cause global warming?	1
2017-11-15	dollar sign in the eyes of bitcoin investors	1
2017-10-13	dollar stays low as stocks cheer latest record streak	1
2018-02-18	don't bank on cryptocurrencies as the hot tip for the year	0
2017-09-17	don't dismiss dimon's predictions of a bitcoin bubble - after all he should know;  the virtual currency's soaring value has set off alarm bells: but its success reflects the continuing lack of trust in traditional banking following the credit crunch	1
2017-09-17	don't dismiss bankers' predictions of a bitcoin bubble - they should know;  the virtual currency's success reflects the continuing lack of trust in traditional banking following the credit crunch	1
2017-05-24	don't get held to ransom	0
2017-09-07	don't rush into investments linked to virtual currencies;  understand the potential risks of complex products before jumping in warn experts and the authorities	0
2017-03-02	don't use bitcoin warns reserve bank	1
2017-11-06	donors use bitcoin for tax benefits and to keep tabs on spending;  giving	0
2018-03-06	dow back up despite apple reversal; gold shines as bitcoin falls	0
2018-03-07	dow stocks extend losses as apple falls on china bitcoin drops	0
2018-02-12	dow s&p 500 nasdaq futures point to strong open; nvidia bofa lead 5 leaders in stock market correction	1
2018-02-21	dow stock indexes reverse as apple turns red; bitcoin slumps	0
2017-12-04	drivers and risks	1
2017-12-04	drug dealers using bitcoin cashpoints to launder money	1
2017-12-04	drug gangs launder cash using bitcoin atms in corner shops	1
2018-03-06	dubai developers reach out to cryptocurrency investors	0
2017-12-07	dubai-based bitoasis sees 'high volume of applications'	1
2017-09-05	e-commerce insights	1
2018-02-14	easy returns are a myth	1
2018-02-09	ecb official warns cryptocurrency craze is like 'a gold rush with no gold'	1
2018-02-15	economic vision / digital tokens	1
2018-02-12	eu authorities warn on cryptocurrencies	1
2018-02-12	eu regulators warn consumers of price bubble in cryptocurrencies	1
2017-12-21	eu seeks 'urgent' response to bitcoin bonanza	0
2017-12-20	eu warns of the risks of the bitcoin and calls for action to supervisors	0
2018-02-14	easy returns are a myth;  the last word	1
2017-09-13	economic club speaker says bitcoin wave of the future;  blockchain has potential to revolutionize commerce and other ‘ledger’ systems	0
2017-08-23	egypt central bank no intention to pass digital currency trading legislation	1
2017-08-17	egypt's first bitcoin exchange to begin trading this month	0
2018-02-12	energy demands for bitcoins soar	1
2018-02-12	energy demands soar in iceland in race for bitcoins	1
2018-03-08	enrique rodriquez carries on dad's legacy of service with cryptocurrency consulting business	0
2017-09-07	entrepreneur goes from lingerie to luxury flats	0
2017-09-07	entrepreneur to sell apartments through bitcoin	0
2017-11-10	equifax takes a hit; senate tax bill keeps mortgage deduction	0
2018-02-21	ethereum founder vitalik buterin: cryptocurrency could drop to near-zero anytime	0
2017-04-01	ethereum to create a new blockchain architecture that's designed to be general-purpose: vitalik	1
2017-12-01	european central bank executive urges instant payments to topple bitcoin	1
2017-12-26	everything you need to know about bitcoins know the details	1
2017-12-04	everything you want to know about bitcoin fever;  still clueless as to what it is?	1
2017-12-06	everything you wanted to know about bitcoin but were afraid to ask	1
2017-12-21	exchanges hit brakes as bitcoin plummets	0
2017-06-30	experts say global cyberattack sought to create ukraine chaos	0
2017-05-17	experts see possible north korea link to attack	1
2017-12-06	fang stocks lead tech recovery; bitcoin takes out $12k and $13k	1
2018-02-14	fang stocks lead techs; bitcoin jumps; defense play protects gains	1
2017-11-28	fast takes	1
2017-12-07	fia warns on derivative exchanges' cryptocurrency craze	1
2017-05-24	fidelity ceo cites bitcoin’s appeal hurdles	0
2017-03-21	fintech: global blockchain business council sets up branch office in washington d.c.	1
2018-02-15	for richer for poorer...;  divorce lawyers say couples are increasingly tussling over cryptocurrencies such as bitcoin and ethereum	1
2017-01-04	forget the dow bitcoin revisits own milestone	1
2018-02-22	free for all blunder at japanese cryptocurrency exchange lets investors buy bitcoins for free with one user 'bagging £15trillion worth';  the system glitch allowed seven customers to bag the knock-down cyber cash during a 20-minute window last week	0
2017-11-12	from chips to flowers how you can spend your bitcoin (worth £5997)	0
2017-10-13	facebook goes to washington: dealbook briefing	1
2017-12-07	facebook tech stocks lead market; bitcoin keeps up torrid pace	1
2017-01-31	fanciful bitcoin blackmailer jailed	1
2018-01-24	fancy buying your pint using bitcoin? this teesside pub is taking them;  it's the future says tap and spile's phil barkley. the guisborough pub will take the digital currency - because it doesn't have a card machine	1
2018-02-15	faster route to raise funds	1
2017-09-05	fear less: progress is our creation	1
2017-12-07	fear of a bitcoin bubble is not the only trouble;  the city view	1
2017-11-28	fears of a bubble as bitcoin nears $10000;  digital currency climbs by 1000pc in a year...	1
2017-01-05	fears over currency control push bitcoin to record high	0
2017-06-01	fed grand jury indicts 5 more in fentanyl distribution ring	1
2018-02-27	fiddy's bitcoin flip	1
2017-09-05	fintrac warns of cryptocurrency risk	1
2017-12-26	financial markets reap the benefits of bitcoin	1
2018-02-22	finns on the money as they confiscate 2000 bitcoin in clampdown	0
2018-03-06	fintech leaders think ethereum market cap will beat bitcoin's	0
2017-05-17	fintech worldwide; aig's new ceo	1
2017-06-05	fintech's ultimate value: making sense of the data explosion	1
2017-07-24	firms set aside payouts as hackers smarten up;  business	0
2017-11-25	first bitcoin machine arrives in prince rupert	1
2018-02-12	first trust launches new blockchain etf to meet demand	1
2017-01-03	first full day of trading around the globe	1
2017-09-14	five things nigerians need to know before putting their money in bitcoin	1
2017-05-30	five things you need to know to start your day	1
2018-03-03	flawed bitcoin faces a brutal reckoning warns carney	1
2018-02-09	focus on bitcoin danger ecb boss tells regulators	1
2017-03-21	for fintech there's safety in numbers	1
2017-06-16	forget coins count your bitcoins	1
2017-06-04	forget far-right populism - crypto-anarchists are the new masters;  many are concerned about the internet's role in politics. but more worrying is the digital tsunami poised to engulf us as machine intelligence and a rising tech elite radically restructure life as we know it	1
2018-02-12	fourth person arraigned in local fake id bitcoin case	1
2018-02-09	fraud facts: understanding the risks of cryptocurrency	1
2017-06-16	from mormon kid to alleged drug kingpin: inside the rise and fall of aaron shamo from mormon kid to alleged drug kingpin the opioid crisis	1
2017-09-13	from silk road to atms: the history of bitcoin;  the digital currency lost 10% of its value after the jp morgan boss described it as fraud - but it has come a long way since it was started in 2009	0
2017-11-12	from chips to flowers how you can spend your bitcoin (worth £5997)	0
2017-11-12	future of cryptocurrencies is here	0
2018-02-18	gambling tycoon builds $100m bitcoin-funded antiguan resort;  'his excellency' calvin ayre says project will be entirely funded from digital currency profits	0
2017-10-25	gang supplying drugs online in exchange of bitcoin busted	1
2018-01-08	global economy;  when will the bitcoin 'bubble' burst?	0
2017-12-21	global clampdown on bitcoin is coming soon insists carney	0
2017-06-30	global cyberattack aimed at havoc in ukraine	0
2017-06-30	global cyberattack may have aimed for havoc not extortion	0
2017-06-30	global cyberattack may have aimed to create havoc not extort money	0
2017-05-24	global demand pushes bitcoin to hit record $2000 and it keeps rising	0
2017-10-11	global regulators play bitcoin whack-a-mole as demand explodes	1
2017-01-05	gold up dollar down as trump rally hits volatility	0
2017-09-05	gold dealer embraces bitcoin rush;  exclusive	1
2017-09-12	goldman eyes $5 billion growth plan; jpmorgan calls bitcoin a 'fraud'	0
2017-05-26	gone in 60 milliseconds	0
2018-03-03	got the bit between the teeth;  csunity edited by tracey boles tel: 020 7782 4050 e-mail: tracey.boles@thesun.co.uk the ftse 100 fell 105.74 to 7069.90 £1 buys (euro)1.12 us $1.37. brent crude $63.80 ; carney's 'crypto crackdown'	1
2018-03-03	got the bit between the teeth;  sun city carney's 'crypto crackdown'	1
2017-12-21	govt crackdown magnifies bitcoin crash	0
2017-05-27	govt seeks inputs on bitcoin regulation	1
2017-05-27	govt seeks public input on bitcoin	1
2017-05-27	govt seeks public inputs on bitcoin regulation	1
2017-05-27	govt wants public inputs by may 31 on bitcoin regulation	1
2017-08-11	hbo wanted to pay $250000 to 'game of thrones' hackers says report	1
